challenge_image_id,edgevision_image_id,local_filename,source_group_id,source_title,license_name,sha256,difficulty_score,difficulty_tags,annotation_count,head_count,small_head_count,brightness_mean,edge_box_count,intended_use,review_status,notes
edgevision_hard_001,55,Image_00055.jpg,edgevision_image_55,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),302e14d3910c85c6034e963835df25bcc46a9df7c92193684952b804a3d97827,13.9,crowded;small_object;overlapping_boxes;edge_truncation,10,5,3,100.05,2,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_002,73,Image_00073.jpg,edgevision_image_73,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),4365f310e08a2dec98cd747ce27816810646cc370569b430a4aaf69562bc7ec0,9.3,crowded;small_object,6,3,3,90.35,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_003,94,Image_00094.jpg,edgevision_image_94,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),b698cf7719663c1f9e5a6281ccfc49c53def3285e290096afd0bb862d0b5556e,9.5,crowded;small_object;overlapping_boxes;low_light,5,3,1,78.12,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_004,101,Image_00101.jpg,edgevision_image_101,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),48011aa77abb01f6bb32a7dddb40c7621b9c5809cc45dde192d6215319f4d44e,12.1,crowded;small_object;overlapping_boxes,7,4,3,99.77,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_005,147,Image_00147.jpg,edgevision_image_147,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),2a0b479f8dd0b24e412a827a611a15f98d17f32f85888e8f3db38215bbbdeb52,10.3,crowded;small_object;overlapping_boxes;low_light,6,3,1,65.72,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_006,169,Image_00169.jpg,edgevision_image_169,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),dfe3276be5e6c5dece56bdf63839f3dd2e93b605995bfc75bb6efde6c3ffc315,9.9,crowded;small_object;overlapping_boxes,10,4,1,100.65,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_007,208,Image_00208.jpg,edgevision_image_208,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),af40cf87bd03e699653bfa34e92ccc29d8ddb424b5edd30a06d6118a5410e199,9.1,crowded;small_object;overlapping_boxes,7,4,1,100.55,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_008,228,Image_00228.jpg,edgevision_image_228,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),e02377a49d26e255052b134f0f5b831d4dacd817ba9656a7e43bab672febfe7f,16.9,crowded;small_object;overlapping_boxes;low_light;edge_truncation,9,6,4,79.29,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_009,246,Image_00246.jpg,edgevision_image_246,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),3ae900997b88602b48a1acef97f44e612fc0b20b554c5d9c1e6a28e76f9f6889,12.4,crowded;small_object,10,5,4,99.8,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_010,265,Image_00265.jpg,edgevision_image_265,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),9f49b99eb4d0f5a49dcd87a9f84b7d792b5f073007129c7354c7d78bdfdb0986,11.6,crowded;small_object;overlapping_boxes;edge_truncation,7,4,2,111.84,2,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_011,268,Image_00268.jpg,edgevision_image_268,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),e6c133883e08c205f2469fd7c9dc27e0cca9cb3ef3f39bdc9f9d87464b25903d,10.6,crowded;small_object;overlapping_boxes,7,4,2,94.92,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_012,319,Image_00319.jpg,edgevision_image_319,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),f0322f1bea85910f1101e0b6ad3546deaa3413443ff732df477d8a96ded0b10e,10.8,crowded;small_object;low_light;edge_truncation,6,4,2,82.04,2,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_013,332,Image_00332.jpg,edgevision_image_332,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),035197d3166273653d931ec647b744b208e363412d89c09c6732955e39842d6c,8.0,crowded;overlapping_boxes;low_light,5,3,0,84.79,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_014,528,Image_00528.jpg,edgevision_image_528,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),41e0e1c24fabf9d2449f121366c9b84b24e9a6e11d8f551aeb32027676f8d852,8.8,crowded;small_object;overlapping_boxes;edge_truncation,6,3,1,85.02,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_015,653,Image_00653.jpg,edgevision_image_653,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),540f692e01a7357f8385f50cd7d86e382ef96e15f13c9ed4533d27dfeaec9d69,13.9,crowded;small_object,10,5,5,134.24,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_016,654,Image_00654.jpg,edgevision_image_654,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),6483b6627ee993b7d6172d0e10b32b787b61b8c88b94a98bc4acc780b437e3c9,9.5,crowded;small_object;overlapping_boxes;edge_truncation,5,3,2,162.87,1,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_017,700,Image_00700.jpg,edgevision_image_700,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),413b94d71504a8303bc3131977e0653bbde60beedbf77b18499a2ff8f6363129,15.9,crowded;small_object;overlapping_boxes,11,6,5,89.78,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_018,717,Image_00717.jpg,edgevision_image_717,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),9cb8d3cd3dad9d61572e610c215aae971bf9378215a25f474618e40566929798,9.6,crowded;small_object;edge_truncation,7,3,2,141.6,2,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_019,733,Image_00733.jpg,edgevision_image_733,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),172b139eb8d9da50fce9617393cee910cfdde2afd3d113645e06bc5a3aa7df8f,15.9,crowded;small_object;overlapping_boxes,12,7,5,101.57,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_020,744,Image_00744.jpg,edgevision_image_744,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),a7e2cf05b203989318eb9b0712a37f2ceafab1dfe66a788102856996a309090a,13.6,crowded;small_object;overlapping_boxes,7,5,4,102.03,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_021,766,Image_00766.jpg,edgevision_image_766,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),0a89194ba547642c4092cf286942a51400a8b60dcf9e5f999ca73bb1c79024ca,12.9,crowded;small_object;overlapping_boxes,9,6,3,112.87,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_022,850,Image_00850.jpg,edgevision_image_850,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),6cefd5947fc7b3a5893dd42bc192c043c606ff6221bd90fa9d2081aca893a40a,9.3,crowded;small_object,6,3,3,109.93,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_023,980,Image_00980.jpg,edgevision_image_980,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),96936fc6f24ded93f6aa5aae5b92395bbc31e225130e19ebf79585bd9174fbc5,9.3,crowded;small_object,6,3,3,115.31,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_024,1000,Image_01000.jpg,edgevision_image_1000,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),4b09711a766b1f24b60901eaa01d0cb3932d2d69335352c954111747f14b2ff2,11.0,crowded;small_object;overlapping_boxes;low_light,5,3,2,79.52,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_025,1051,Image_01051.jpg,edgevision_image_1051,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),8e2821bf3c6e2f25bd4e0560dd22e7493ab1581a1c9ad19dcce3e4966869717b,13.9,crowded;small_object,10,5,5,135.16,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
edgevision_hard_026,1057,Image_01057.jpg,edgevision_image_1057,EdgeVision Dataset v1,CC BY 4.0 (theo README dữ liệu dự án; cần đối chiếu trang DOI trước khi báo cáo),4b6edda8fd58199fd5b37d6ee3c3b4d1ab48ac4d6a91d42dd289013381dcaeb1,10.9,crowded;small_object,8,3,3,155.52,0,edgevision_hard_subset_only,candidate_review_required,Derived before challenge inference; not an external generalization benchmark.
